country,index ,time,zone,,
Taiwan,TAREDSC Index,1630,CST,China standard time,
United States,FDTR Index,1400,EDT,Eastern daylight time,
Australia,RBATCTR Index,1430,AEST,Australian eastern standard time,
Brazil,BZSTSETA Index,1830,BRT,Brasilia time,
Norway,NOBRDEPA Index,1000,CET,Central european time,
Switzerland,SZLTDEP Index,0930,CET,Central european time,
United Kingdom,UKBRBASE Index,1200,GMT,Greenwich mean time,
Philippines,PPCBON Index,1500,PHT,Philippine time,
Sweden,SWRRATEI Index,0930,CET,Central european time,
Turkey,TUBR1WRA Index,1400,EDT,Turkey time,
Israel,ISBRANN Index,1800,IST ,Isarel standard time,
New Zealand,NZOCR Index,1400,NZST,New Zealand standard time,
Malaysia,MAOPRATE Index,1500,MST,Malaysian standard time,
South Korea,KORP7DR Index,1000,KST,Korean standard time,
South Africa,SARPRT Index,1500,SAST,South African standard time,
Canada,CABROVER Index,1000,ET,Eastern time ,
Russia,RREFKANN Index,1330,MSK,Moscow time,
India,INRPYLDP Index,1000,IST,India standard time,
China,CHLR12MC Index,next trading day (no specific time),,,documents
Denmark,DERE Index,no specific time mentioned,,,
Egypt,EGBRDRAR Index,around 1700-1800 EGY,,,
Hong Kong,HKBASE Index,0800,HKT,Hong Kong time,
Iceland,ICBRATE Index,0830 ,GMT,Greenwich mean time,
Qatar,QAIRRR Index,no specific time mentioned,,,
Saudi Arabia,SRREPO Index,no specific time mentioned,,,
Singapore,,0800 ,SGT,Singapore time,
UAE,,no specific time mentioned,,,
Vietnam,WNDISC Index,no specific time mentioned,,,
